matricula;latitude;longitude
1302170;-28,281343;-52,76821
1119296;-28,281101;-52,768253
2426406;-28,278728;-52,765434
2747427;-28,277563;-52,76617
2362561;-28,277061;-52,766743
1120098;-28,280107;-52,7736
1120097;-28,280188;-52,773758
1302589;-28,280254;-52,773857
1120095;-28,280333;-52,773903
1302587;-28,280495;-52,77408
1120090;-28,280478;-52,77439
2345703;-28,280474;-52,774426
1302584;-28,280453;-52,77444
1302583;-28,280432;-52,774677
1302582;-28,280392;-52,77476
1302581;-28,280409;-52,775055
1302631;-28,280384;-52,77511
2530186;-28,28047;-52,775215
1302433;-28,280502;-52,77524
1302432;-28,28051;-52,77513
1302431;-28,280518;-52,775085
1302430;-28,280558;-52,774906
1302429;-28,28057;-52,774754
1302427;-28,280577;-52,774643
1302428;-28,280552;-52,774597
1302586;-28,280537;-52,774292
1302426;-28,280672;-52,7743
1302425;-28,280724;-52,774246
1302330;-28,280869;-52,774326
1302424;-28,28089;-52,774406
1302423;-28,280935;-52,774353
1302422;-28,281029;-52,774548
1302421;-28,281162;-52,77453
1401955;-28,281193;-52,774628
1302420;-28,281305;-52,77473
1119793;-28,281393;-52,77477
1302419;-28,281363;-52,77484
1401954;-28,281504;-52,7749
1302418;-28,281584;-52,77493
1302417;-28,281672;-52,775043
1401953;-28,281721;-52,77505
1302416;-28,281858;-52,77522
1119787;-28,281904;-52,775246
1302415;-28,281965;-52,775322
1119785;-28,282038;-52,775333
1119783;-28,28203;-52,77547
1119782;-28,282248;-52,77544
2246441;-28,282356;-52,775585
1401952;-28,282717;-52,775963
1302556;-28,28311;-52,776226
2680572;-28,28357;-52,776592
1302414;-28,283588;-52,776627
2008640;-28,283663;-52,776684
1426056;-28,283895;-52,77682
1302413;-28,28442;-52,777267
1401951;-28,284403;-52,777355
1302412;-28,284466;-52,777393
1302411;-28,284391;-52,77754
1119775;-28,28448;-52,777634
1119769;-28,284573;-52,777264
1427412;-28,284765;-52,77721
1119771;-28,284843;-52,7771
2321463;-28,28487;-52,777058
1119773;-28,284924;-52,777023
1119772;-28,284956;-52,776905
2674496;-28,284983;-52,776833
1401950;-28,284609;-52,77713
1302410;-28,284481;-52,777206
1302409;-28,284475;-52,77716
1401949;-28,284454;-52,77715
1302227;-28,28433;-52,776665
1119416;-28,284307;-52,77652
1401924;-28,28429;-52,776466
1401901;-28,284336;-52,776493
1302228;-28,28441;-52,776424
1302229;-28,284506;-52,776424
1401902;-28,284557;-52,776356
1302230;-28,284563;-52,776115
2352786;-28,28456;-52,776104
1302231;-28,284666;-52,77601
1302304;-28,284582;-52,775894
1302305;-28,284283;-52,776337
1302306;-28,284227;-52,77641
1302307;-28,284151;-52,77658
1119779;-28,283998;-52,776844
1302408;-28,283794;-52,776604
1302406;-28,283758;-52,77654
1401948;-28,28371;-52,77657
1302407;-28,283724;-52,776543
1401920;-28,283411;-52,776287
1302299;-28,28354;-52,776066
1302300;-28,283747;-52,77603
1401921;-28,28375;-52,77574
1302301;-28,283867;-52,775604
1302302;-28,283875;-52,77545
1401922;-28,28394;-52,775387
2635317;-28,284063;-52,775307
1302292;-28,28389;-52,775234
1119548;-28,283789;-52,77548
1302293;-28,283678;-52,775578
1302294;-28,283665;-52,775604
1401919;-28,283634;-52,77568
1302296;-28,283443;-52,775578
2297247;-28,283655;-52,77577
1302295;-28,283604;-52,775784
1119554;-28,283459;-52,775936
1302297;-28,283436;-52,776047
1302298;-28,28338;-52,77604
2395231;-28,2833;-52,77621
1119761;-28,283138;-52,776073
1401947;-28,283068;-52,775997
1302405;-28,283089;-52,77592
1302286;-28,282757;-52,775677
1302288;-28,282846;-52,77543
1302287;-28,282873;-52,775433
1119536;-28,282871;-52,7754
1302289;-28,283052;-52,775257
1302290;-28,283096;-52,77515
1119539;-28,283125;-52,775043
1119540;-28,28322;-52,775005
1119541;-28,283289;-52,7749
1302272;-28,28319;-52,77464
1302273;-28,28312;-52,774746
1401916;-28,283096;-52,774784
1302274;-28,282978;-52,774994
1302275;-28,282932;-52,775013
1401917;-28,282766;-52,775257
1302276;-28,282766;-52,775272
1119515;-28,282715;-52,775387
1302277;-28,28269;-52,775513
1302278;-28,282618;-52,775524
1302404;-28,28236;-52,775356
1119757;-28,282291;-52,77528
1401946;-28,282282;-52,775276
1302403;-28,282257;-52,775085
1302402;-28,282055;-52,775143
1401945;-28,282059;-52,77518
1302401;-28,28175;-52,774967
1302400;-28,281748;-52,774826
1401944;-28,28184;-52,774757
1302398;-28,281942;-52,774597
1302399;-28,2819;-52,77452
1119747;-28,282099;-52,77432
1401943;-28,282179;-52,774162
1302396;-28,28236;-52,77393
1119628;-28,282211;-52,773872
1302337;-28,282047;-52,774014
1302397;-28,282072;-52,774055
1401930;-28,28201;-52,774097
1302336;-28,281967;-52,77433
1119623;-28,281866;-52,774403
1302335;-28,281809;-52,77449
1401929;-28,281794;-52,774506
1302334;-28,281656;-52,77466
1302333;-28,281357;-52,77451
1401928;-28,281326;-52,774483
1302332;-28,28121;-52,774414
1302331;-28,281055;-52,774338
1119613;-28,280836;-52,774155
1302329;-28,280775;-52,774055
1302328;-28,280748;-52,773666
1119608;-28,28088;-52,773525
1302326;-28,280928;-52,77351
1302327;-28,280918;-52,77349
1302325;-28,280993;-52,773396
1119603;-28,281044;-52,773273
1119605;-28,281055;-52,773285
1302323;-28,281116;-52,773296
1302324;-28,281073;-52,77324
1119495;-28,28138;-52,772953
1119497;-28,281515;-52,77316
1119498;-28,281586;-52,7732
1119499;-28,281712;-52,773254
1119500;-28,281754;-52,773357
1401913;-28,281855;-52,773464
1119627;-28,281979;-52,77351
1302268;-28,282454;-52,77391
1401914;-28,282728;-52,774254
1302270;-28,282887;-52,774197
1302271;-28,282974;-52,774387
1401915;-28,282978;-52,774395
1119542;-28,283487;-52,774788
1302291;-28,283651;-52,77495
1119545;-28,283768;-52,775
1119564;-28,28432;-52,775475
1302303;-28,284319;-52,775517
1119423;-28,284842;-52,775894
1401903;-28,285145;-52,776173
1119427;-28,285234;-52,77621
1302233;-28,285229;-52,77622
1302234;-28,28533;-52,77633
1119431;-28,285332;-52,776344
1119430;-28,285385;-52,776325
2352307;-28,28555;-52,776257
2180856;-28,285414;-52,77621
1119432;-28,285269;-52,776104
2106838;-28,285156;-52,77599
2229983;-28,285046;-52,77596
2126004;-28,284925;-52,77584
2105330;-28,284924;-52,77564
1119442;-28,285011;-52,775414
1401904;-28,28509;-52,77543
1302235;-28,285051;-52,77538
1401906;-28,285183;-52,77512
1302236;-28,28526;-52,775135
1995942;-28,285397;-52,774834
1302237;-28,2853;-52,774853
1302238;-28,28522;-52,774982
2322338;-28,28521;-52,77498
1119439;-28,285131;-52,775047
1302239;-28,284998;-52,775276
1119443;-28,28455;-52,77547
1302240;-28,284472;-52,77541
1429398;-28,284462;-52,7754
1302241;-28,284315;-52,775234
2243612;-28,284317;-52,77491
1302242;-28,284395;-52,774857
1302243;-28,2844;-52,774784
1302245;-28,284626;-52,774418
1119451;-28,284643;-52,774387
1302246;-28,284603;-52,774372
1119453;-28,28458;-52,774384
1302247;-28,284441;-52,774475
1302248;-28,284409;-52,7745
1119457;-28,284328;-52,774654
1302249;-28,28428;-52,774742
1119459;-28,283966;-52,77509
